date,0.txt,2.txt,3.txt,4.txt,1155580_Compiled_0.csv
2020-02-25,,,,0.03,0.03
2020-02-26,,0.1,,,0.1
2020-04-05,1.36,,,,1.36
2020-04-23,0.91,,,,0.91
2020-07-24,0.1,,,,0.1
2020-12-13,,,0.26,,0.26
2021-01-03,0.46,,,,0.46
2021-03-08,0.48,,,,0.48
