date,dailyTotal_0,dailyTotal_1,dailyTotal_2,1209140_Compiled_0.csv
2020-04-26,1.97,7.76,,9.73
2020-04-27,0.98,9.23,,10.21
2020-04-28,1.3,3.22,,4.5200000000000005
2020-04-29,0.33,5.11,,5.44
2020-04-30,47.95,375.74,3.14,426.83
2020-05-01,31.23,101.17,122.18,254.58
2020-05-02,13.36,33.36,18.56,65.28
2020-05-03,6.73,17.99,1.27,25.99
2020-05-04,4.54,12.6,3.71,20.85
2020-05-05,2.81,13.02,2.21,18.04
2020-05-06,4.98,12.489999999999998,,17.47
2020-05-07,136.92000000000002,5.61,0.87,143.40000000000003
2020-05-08,27.860000000000007,6.9,4.08,38.84
2020-05-09,17.72,6.200000000000001,0.56,24.48
2020-05-10,12.6,7.1000000000000005,0.51,20.21
2020-05-11,9.05,5.02,0.6,14.67
2020-05-12,5.880000000000001,5.3100000000000005,1.38,12.57
2020-05-13,9.56,3.05,0.57,13.18
2020-05-14,8.129999999999999,2.4,0.46,10.99
2020-05-15,4.5,1.8,0.33,6.63
2020-05-16,3.35,2.51,,5.859999999999999
2020-05-17,8.32,2.28,0.27,10.87
2020-05-18,6.31,3.94,0.65,10.9
2020-05-19,3.37,2.45,0.54,6.36
2020-05-20,3.27,0.9200000000000002,0.14,4.33
2020-05-21,3.2,2.07,0.21,5.4799999999999995
2020-05-22,4.21,1.1999999999999995,,5.409999999999999
2020-05-23,2.25,0.9,0.32,3.4699999999999998
2020-05-24,120.7,53.96,6.9,181.56
2020-05-25,77.94,30.17,2.9,111.01
2020-05-26,42.28,9.41,0.48,52.169999999999995
2020-05-27,13.17,5.6,0.58,19.349999999999998
2020-05-28,12.69,3.5,0.76,16.95
2020-05-29,7.479999999999999,2.09,0.28,9.849999999999998
2020-05-30,7.670000000000001,1.88,0.36,9.91
2020-05-31,10.39,3.14,0.95,14.48
2020-06-01,5.06,3.5,0.43,8.989999999999998
2020-06-02,8.93,6.37,1.08,16.380000000000003
2020-06-03,10.38,2.41,,12.790000000000001
2020-06-04,7.52,2.25,1.31,11.08
2020-06-05,7.620000000000001,9.73,0.37,17.720000000000002
2020-06-06,2.79,0.96,0.18,3.93
2020-06-07,4.82,1.76,0.3,6.88
2020-06-08,2.29,1.9,0.15,4.34
2020-06-09,3.3800000000000003,3.09,1.98,8.450000000000001
2020-06-10,8.23,3.79,0.12,12.139999999999999
2020-06-11,4.83,3.69,0.03,8.549999999999999
2020-06-12,2.9600000000000004,2.21,0.42,5.59
2020-06-13,3.62,1.7899999999999998,,5.41
2020-06-14,2.28,2.13,,4.41
2020-06-15,5.43,0.84,,6.27
2020-06-16,2.91,1.47,0.09,4.47
2020-06-17,5.0600000000000005,1.05,,6.11
2020-06-18,3.65,0.6799999999999999,0.06,4.39
2020-06-19,1.13,0.17,,1.2999999999999998
2020-06-20,1.5100000000000002,0.48,,1.9900000000000002
2020-06-21,1.94,2.12,,4.0600000000000005
2020-06-22,1.59,2.7,0.39,4.68
2020-06-23,8.56,2.09,,10.65
2020-06-24,2.6,2.58,,5.18
2020-06-25,15.05,4.29,0.72,20.06
2020-06-26,15.96,5.34,0.47,21.77
2020-06-27,8.48,2.5,0.26,11.24
2020-06-28,2.23,0.97,,3.2
2020-06-29,2.0,1.19,0.19,3.38
2020-06-30,1.47,1.27,0.16,2.9000000000000004
2020-07-01,1.61,0.8299999999999998,0.07,2.51
2020-07-02,1.4300000000000002,1.22,,2.6500000000000004
2020-07-03,8.96,0.5900000000000001,,9.55
2020-07-04,3.19,2.35,,5.54
2020-07-05,7.34,0.73,,8.07
2020-07-06,1.5300000000000002,3.95,,5.48
2020-07-07,6.76,3.0699999999999994,,9.829999999999998
2020-07-08,1.44,0.81,,2.25
2020-07-09,2.24,1.23,,3.47
2020-07-10,2.6900000000000004,1.7799999999999998,,4.470000000000001
2020-07-11,0.98,0.39,,1.37
2020-07-12,0.8099999999999999,1.43,,2.2399999999999998
2020-07-13,7.36,7.670000000000001,0.04,15.07
2020-07-14,2.12,1.24,,3.3600000000000003
2020-07-15,3.3200000000000003,4.69,,8.010000000000002
2020-07-16,2.45,1.07,,3.5200000000000005
2020-07-17,1.21,0.89,,2.1
2020-07-18,0.66,0.24,,0.9
2020-07-19,0.8399999999999999,0.22,,1.0599999999999998
2020-07-20,1.96,0.48,,2.44
2020-07-21,1.45,0.96,,2.41
2020-07-22,2.85,3.1099999999999994,0.82,6.779999999999999
2020-07-23,3.41,6.949999999999998,2.86,13.219999999999999
2020-07-24,3.15,3.0600000000000005,1.04,7.250000000000001
2020-07-25,1.11,1.07,,2.18
2020-07-26,1.61,0.68,,2.29
2020-07-27,1.85,6.829999999999999,,8.68
2020-07-28,0.47,1.4,,1.8699999999999999
2020-07-29,1.54,0.74,,2.2800000000000002
2020-07-30,0.66,0.6,,1.26
2020-07-31,1.85,1.08,,2.93
2020-08-01,6.1,0.6699999999999999,0.17,6.9399999999999995
2020-08-02,1.1700000000000002,4.2200000000000015,0.2,5.590000000000002
2020-08-03,8.290000000000001,1.6800000000000002,0.38,10.350000000000001
2020-08-04,54.38,2.35,,56.730000000000004
2020-08-05,4.46,1.5400000000000005,,6.0
2020-08-06,3.85,0.85,,4.7
2020-08-07,2.22,0.43,,2.6500000000000004
2020-08-08,14.6,1.3199999999999998,,15.92
2020-08-09,1.66,3.27,,4.93
2020-08-10,21.26,3.34,,24.6
2020-08-11,1.72,2.58,,4.3
2020-08-12,2.05,2.83,,4.88
2020-08-13,2.6100000000000003,1.7200000000000002,,4.33
2020-08-14,1.29,0.66,,1.9500000000000002
2020-08-15,2.75,0.85,,3.6
2020-08-16,0.6,0.33,,0.9299999999999999
2020-08-17,9.35,1.7599999999999998,0.99,12.1
2020-08-18,1.2799999999999998,0.77,,2.05
2020-08-19,22.09,5.89,,27.98
2020-08-20,10.95,4.44,,15.39
2020-08-21,3.99,1.31,,5.300000000000001
2020-08-22,13.52,5.74,1.46,20.72
2020-08-23,4.28,3.0700000000000003,0.62,7.970000000000001
2020-08-24,4.68,1.72,,6.3999999999999995
2020-08-25,0.92,0.7499999999999999,,1.67
2020-08-26,2.6,1.08,,3.68
