date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,1190990_Compiled_0.csv
2020-03-02,,,2.13,,,,,2.13
2020-05-11,,,,,,,0.06,0.06
2020-05-16,,,,0.04,,,,0.04
2020-05-17,0.03,,,,,,0.03,0.06
2020-05-18,2.69,0.06,0.36,,,,,3.11
2020-05-19,0.36,,0.03,0.44,0.58,,0.15,1.56
2020-05-20,0.24,,,0.03,0.16,0.07,,0.5
2020-05-21,0.3,,0.15,,0.16,,,0.61
2020-05-22,0.14,0.23000000000000004,0.5399999999999999,0.38,0.09,0.24,,1.62
2020-05-23,0.03,0.14,0.06,0.27,,0.41,,0.9099999999999999
2020-05-24,0.39,0.08,0.56,0.27,0.13,1.17,,2.6
2020-05-25,0.87,0.52,2.24,0.06,0.56,,0.6,4.85
2020-05-26,,0.18,,,0.24,,0.68,1.1
2020-05-27,0.03,0.09,2.08,0.09,0.14,0.59,0.18,3.2
2020-05-28,0.37,0.03,0.07,0.13,0.36000000000000004,0.47,,1.4300000000000002
2020-05-29,0.03,0.03,0.17,0.03,0.36,0.22,,0.84
2020-05-30,0.30000000000000004,0.24,0.08,0.24,,0.04,,0.9
2020-05-31,0.48,1.22,0.03,0.27,0.06,0.21,0.75,3.02
2020-06-01,0.93,0.03,0.54,0.59,,0.38,0.51,2.9799999999999995
2020-06-02,0.48,0.04,,,2.58,0.03,,3.13
2020-06-03,0.7100000000000001,0.03,0.3,,,0.21,,1.25
2020-06-04,,,,,0.03,,,0.03
2020-06-05,0.18,,0.42,,,,,0.6
2020-06-06,0.18,,,,,,,0.18
2020-06-07,,0.24,0.1,0.06,0.04,0.12,1.71,2.27
2020-06-08,1.08,,1.23,,0.09,,1.6,4.0
2020-06-09,1.44,,,,0.06,,,1.5
2020-06-10,0.75,,0.03,0.03,,,,0.81
2020-06-11,0.72,,0.94,,,0.13,,1.79
2020-06-12,,0.12,,0.09,,,,0.21
2020-06-13,0.33,,0.06,,,,,0.39
2020-06-14,0.79,0.06,0.27,0.11,0.09,0.24,,1.5600000000000003
2020-06-15,1.95,0.15,1.14,,0.09,0.72,,4.05
2020-06-16,0.66,,0.27,0.03,0.03,0.06,0.21,1.26
2020-06-17,,,,,0.03,0.18,0.09,0.3
2020-06-18,0.6299999999999999,,0.36,,0.06,0.27,,1.3199999999999998
2020-06-19,0.51,,,,,,,0.51
2020-06-20,0.06,,,,0.06,0.03,,0.15
2020-06-22,0.09,,,,0.06,0.55,,0.7000000000000001
2020-06-23,0.09,,0.03,0.03,0.03,,,0.18
2020-06-24,3.7,,,,,,,3.7
2020-06-25,0.06,,,,,,,0.06
2020-06-26,2.88,0.12,,,0.87,0.24,0.42,4.53
2020-06-27,0.27,,,,0.06,,,0.33
2020-06-28,0.27,,0.24,,,,,0.51
2020-06-29,2.37,,1.1700000000000002,,0.48,0.9,,4.92
2020-06-30,0.12,,,,0.3,,,0.42
2020-07-01,0.12,,0.54,0.33,0.45,0.09,,1.53
2020-07-02,0.15,,,,0.09,0.27,0.27,0.78
2020-07-03,0.8099999999999999,,0.69,,0.18,0.03,,1.71
2020-07-04,0.12,,0.12,,,0.09,,0.32999999999999996
2020-07-05,0.06,,0.06,,,,,0.12
2020-07-06,1.56,0.15,0.21,,0.21,,,2.13
2020-07-07,0.06,,,,0.15,0.03,,0.24
2020-07-08,0.36000000000000004,,0.45,,,,,0.81
2020-07-09,0.8099999999999999,,0.42,,,,,1.23
2020-07-10,0.51,,0.09,,0.15,,,0.75
2020-07-11,0.36,,0.15,,,,,0.51
2020-07-12,0.33,0.18,0.21,,,,,0.72
2020-07-13,0.21,,0.09,,,,,0.3
2020-07-14,0.5700000000000001,,0.54,0.18,,,,1.29
2020-07-15,1.02,0.06,0.33,0.09,0.15,0.09,,1.7400000000000002
2020-07-16,0.6,,,0.06,0.09,0.06,,0.8099999999999998
2020-07-17,0.21,0.33,0.27,,,,,0.81
2020-07-18,1.2,,,,0.12,,,1.3199999999999998
2020-07-19,0.36,,,0.06,,,,0.42
2020-07-20,0.09,,,0.24,0.21,,,0.5399999999999999
2020-07-21,,,0.51,0.03,,0.05,0.36,0.9500000000000001
2020-07-22,1.05,,,,,,,1.05
2020-07-23,0.03,,0.06,,0.09,0.15,,0.32999999999999996
2020-07-24,0.15,,,,,0.12,,0.27
2020-07-25,,,,0.06,,,,0.06
2020-07-26,3.75,,0.48,,,,,4.23
2020-07-27,1.02,,,,0.03,,,1.05
2020-07-29,3.85,1.31,0.92,0.7600000000000001,1.7100000000000002,0.55,,9.100000000000001
2020-07-30,0.09,,,,,0.04,,0.13
2020-07-31,0.42,,,,,,,0.42
2020-08-01,,,0.09,,,,,0.09
2020-08-02,0.12,,0.24,,0.15,0.09,0.99,1.5899999999999999
2020-08-03,0.93,,0.12,,,,,1.05
2020-08-04,0.39,,,,,,,0.39
2020-08-06,,,,,0.12,,,0.12
2020-08-07,0.09,,,,0.09,,,0.18
2020-08-08,0.48,,,,,,,0.48
2020-08-09,0.18,,,,,,,0.18
2020-08-11,1.68,0.27,1.11,0.18,2.67,0.09,0.3,6.3
2020-08-13,0.27,0.3,0.51,,,,,1.08
2020-08-14,,,0.06,,,,,0.06
2020-08-16,0.15,0.15,0.6900000000000001,0.06,0.09,0.04,,1.1800000000000002
2020-08-17,3.03,3.0,,,,,,6.029999999999999
2020-08-18,0.06,,,,,,,0.06
2020-08-19,3.06,,,,,0.06,,3.12
2020-08-21,,,,,0.12,,,0.12
2020-08-24,8.1,,0.81,,0.54,,2.4,11.85
2020-08-28,0.18,,,,,,,0.18
2020-08-29,0.15,,,,,,,0.15
2020-08-30,,,,,0.03,,,0.03
2020-09-01,3.0,,,,,0.45,,3.45
2020-09-02,,,,,,0.03,,0.03
2020-09-04,0.6300000000000001,,0.06,,,0.15,,0.8400000000000002
2020-09-05,0.09,,,,0.51,,,0.6
2020-09-07,0.15,,,,,,,0.15
2020-09-08,10.2,1.68,2.67,0.48,0.93,0.88,2.31,19.15
2020-09-09,0.48,,0.03,,,,,0.51
2020-09-10,0.66,,,0.33,0.9,,,1.8900000000000001
2020-09-11,0.8400000000000001,,,,,0.09,,0.93
2020-09-12,0.45,0.18,3.06,,0.45,0.09,4.38,8.61
2020-09-13,0.6,0.51,,,,0.09,0.24,1.44
2020-09-14,0.96,,,,0.15,0.27,,1.38
2020-09-15,0.99,,0.06,,,,0.12,1.17
2020-09-16,0.7799999999999999,,,,,0.21,0.63,1.6199999999999999
2020-09-17,1.3199999999999998,0.18,0.27,0.4199999999999999,0.63,0.4199999999999999,,3.2399999999999993
2020-09-18,3.5700000000000003,0.3,0.12,0.12,0.27,0.24,,4.620000000000001
2020-09-19,0.39,,,,,0.12,,0.51
2020-09-20,0.15,,,,,0.33,,0.48
2020-09-21,0.51,0.30000000000000004,,,,0.21,,1.02
2020-09-22,3.96,1.26,0.36,,,0.48,,6.0600000000000005
2020-09-23,2.01,1.7400000000000002,1.41,,0.27,0.24,5.5,11.17
2020-09-24,1.77,0.27,0.7799999999999999,,,0.6,,3.42
2020-09-25,1.26,0.24,0.42,,,0.21,,2.13
2020-09-26,2.37,0.45,0.21,,,0.15,,3.18
2020-09-27,1.38,0.99,0.99,,,0.27,,3.6300000000000003
2020-09-28,0.8099999999999999,0.33,0.24,,,0.51,,1.89
2020-09-29,0.84,0.63,0.51,,0.39,0.42,,2.79
2020-09-30,0.99,1.11,0.4199999999999999,,0.21,0.24,0.48,3.4499999999999997
2020-10-01,0.5700000000000001,0.4500000000000001,0.42,,0.54,0.18,,2.16
