date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,1190990_Compiled_0.csv
2020-10-02,0.6299999999999999,0.45,0.5700000000000001,,0.15,0.42,,2.2199999999999998
2020-10-03,0.84,0.09,1.26,,0.27,0.03,,2.4899999999999998
2020-10-04,0.5399999999999999,0.12,0.5700000000000001,,0.21,0.03,0.69,2.16
2020-10-05,0.6,0.15,0.3,,0.24,,0.33,1.62
2020-10-06,1.08,0.3,0.51,,0.27,0.15,,2.31
2020-10-07,0.27,0.15,0.87,0.15,0.6,0.24,,2.2800000000000002
2020-10-08,,0.03,,,,0.09,,0.12
2020-10-09,0.09,,,,0.09,0.24,,0.42
2020-10-10,0.03,,,,,0.24,,0.27
2020-10-11,,,,,0.12,0.12,,0.24
2020-10-12,,,,,0.15,0.21,,0.36
2020-10-13,3.18,0.39,0.6,,0.09,0.6,,4.859999999999999
2020-10-14,2.58,1.15,1.56,0.57,0.06,0.6000000000000001,1.86,8.379999999999999
2020-10-15,,,,,,0.24,,0.24
2020-10-16,,,,,,0.18,,0.18
2020-10-17,0.12,0.06,0.06,,0.18,0.6,,1.02
2020-10-18,,0.09,,,,,,0.09
2020-10-19,1.83,,0.15,,0.03,0.06,,2.07
2020-10-20,2.31,,,,,,,2.31
2020-10-21,3.15,,,,,,,3.15
2020-10-22,,,,,,0.15,,0.15
2020-10-25,0.66,,0.12,,,,,0.78
2020-10-26,,,,0.03,,,,0.03
2020-10-27,5.07,0.51,0.03,,0.6000000000000001,1.14,,7.3500000000000005
2020-10-28,9.6,3.27,3.27,,1.53,0.78,1.59,20.040000000000003
2020-10-29,2.67,0.21,,,,0.93,,3.81
2020-10-30,,,0.06,,,,,0.06
2020-11-02,0.12,,,,,,,0.12
2020-11-04,,0.06,,,,,,0.06
2020-11-05,,,,,,0.33,,0.33
2020-11-06,,,,,,0.12,,0.12
2020-11-07,,0.06,,0.09,0.03,,,0.18
2020-11-08,,,,0.03,,,,0.03
2020-11-12,0.6,,,,,,,0.6
2020-11-14,,0.03,,,,,,0.03
2020-11-22,0.03,,,,,,,0.03
2020-11-24,0.18,,,,,0.09,,0.27
2020-11-29,,,,,,,3.0,3.0
2020-12-02,,0.6,,,,3.0,,3.6
2020-12-03,2.67,1.92,5.79,1.0799999999999998,4.35,0.06,,15.87
2020-12-04,0.63,,,,,,,0.63
2020-12-06,0.3,0.24,0.27,0.27,0.27,0.21,,1.56
2020-12-07,0.06,0.03,,,,0.21,,0.3
2020-12-08,0.93,,,,,0.9,,1.83
2020-12-11,,,0.33,,,,,0.33
2020-12-12,,,0.06,,,,,0.06
2020-12-13,,,,,3.0,0.12,,3.12
2020-12-14,,,,,,0.03,,0.03
2020-12-19,0.53,0.99,0.81,1.47,0.81,0.8400000000000001,,5.449999999999999
2020-12-24,0.06,,,0.03,0.06,,,0.15
2020-12-26,0.06,,0.06,0.09,0.06,,,0.27
2020-12-30,13.4,,6.99,,,1.26,,21.650000000000002
2021-01-02,,,,,,0.14,,0.14
2021-01-06,2.49,,,,,,,2.49
2021-01-07,,,,3.4,4.53,1.23,,9.16
2021-01-09,0.33,0.24,0.21,,0.18,1.4500000000000002,,2.41
2021-01-10,,,0.03,0.75,,,,0.78
2021-01-11,,,,,0.06,,,0.06
2021-01-12,,,0.06,0.3,,,,0.36
2021-01-13,1.35,,,,,,,1.35
2021-01-16,,,,,0.18,,,0.18
2021-01-17,,0.06,,,,,,0.06
2021-01-18,3.4,0.39,,,0.12,,,3.91
2021-01-19,,,,,,0.87,,0.87
2021-01-20,,0.03,,,0.51,,,0.54
2021-01-21,,,,,0.12,,,0.12
2021-01-22,,0.66,,,,,,0.66
2021-01-23,0.03,,,,0.15,,,0.18
2021-01-24,,,,,0.06,,,0.06
2021-01-26,,,,,0.09,,,0.09
2021-01-27,,,,,0.15,0.24,,0.39
2021-01-28,,,,,0.12,,,0.12
2021-01-29,,,,,,0.15,,0.15
2021-01-31,,,,,0.06,,,0.06
2021-02-01,,,,,0.12,,,0.12
2021-02-02,,,,,0.15,,,0.15
2021-02-03,,,,,0.09,,,0.09
2021-02-04,,0.15,0.39,0.12,0.09,0.30000000000000004,,1.05
2021-02-05,0.42,0.15,0.24,0.27,0.18,,,1.26
2021-02-06,,,,,0.06,,,0.06
2021-02-09,,,,,0.27,0.09,,0.36
2021-02-10,,,,,0.06,0.09,,0.15
2021-02-11,,,0.06,,,0.06,,0.12
2021-02-12,,,,,0.06,,,0.06
2021-02-13,,,,,0.09,,,0.09
2021-02-14,0.09,,,,,,,0.09
2021-02-15,,,,,0.03,,,0.03
2021-02-18,,,,,0.06,,,0.06
2021-02-19,,,,,0.09,,,0.09
2021-02-23,,,,,0.21,,,0.21
2021-02-27,,,,,0.12,,,0.12
2021-02-28,,0.03,,0.09,,,,0.12
2021-03-01,,,,4.95,,,,4.95
2021-03-02,,,,,,0.09,,0.09
2021-03-04,,,,,0.18,,,0.18
2021-03-05,,,,,0.12,0.06,,0.18
2021-03-08,0.15,,0.18,0.15,0.27,0.15,,0.9
2021-03-09,,,,,,0.03,,0.03
2021-03-12,,,,1.2,,,,1.2
2021-03-14,,,,,0.21,2.28,,2.4899999999999998
2021-03-15,,0.45,,,,,,0.45
2021-03-17,0.15,,0.24,0.18,1.29,,,1.86
2021-03-19,,,,,,0.09,,0.09
2021-03-20,,,,,,0.09,,0.09
2021-03-22,,,,0.06,,,,0.06
2021-03-23,,,,0.06,,,,0.06
2021-03-26,,,,0.09,,,,0.09
2021-03-27,,,,0.1,,,,0.1
2021-04-03,,,,0.3,,,,0.3
2021-04-08,0.12,,0.06,,,,,0.18
