date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,1070330_Compiled_0.csv
11-02-2021,,0.06,0.87,,,,,,0.93
12-02-2021,,0.38,1.67,0.1,1.13,,,,3.28
13-02-2021,0.15,0.09,0.36,0.34,0.58,0.65,,,2.17
14-02-2021,0.24,0.12,0.32,0.16,0.06,0.57,0.06,,1.53
15-02-2021,0.09,0.27,0.16,,0.55,0.23,0.23,,1.53
16-02-2021,0.12,0.24,0.38,0.19,0.5,0.34,0.36,0.07,2.2
17-02-2021,0.15,0.33,0.22,0.2,0.56,0.33,0.18,0.05,2.02
18-02-2021,0.09,0.18,0.6,0.7,0.56,0.45,0.34,,2.92
19-02-2021,0.06,0.3,0.06,0.68,0.44,0.44,0.13,,2.11
20-02-2021,0.09,0.18,0.6,0.66,,0.4,0.34,,2.27
21-02-2021,0.3,0.27,0.33,0.08,,0.22,0.49,,1.69
22-02-2021,0.09,1.2,0.33,0.06,0.79,0.38,0.16,,3.01
23-02-2021,0.48,0.24,0.12,0.54,0.44,,0.16,,1.98
24-02-2021,0.06,0.45,0.34,0.03,,,,0.84,1.72
25-02-2021,0.18,0.18,0.34,0.44,0.42,0.48,0.68,,2.72
26-02-2021,0.39,0.81,0.03,,0.11,0.2,0.16,,1.7
27-02-2021,0.15,0.21,0.21,0.03,0.71,0.27,0.33,1.13,3.04
28-02-2021,0.54,0.93,0.2,,,0.26,0.04,,1.97
01-03-2021,0.27,0.36,0.81,0.13,0.19,0.69,0.25,1.35,4.05
02-03-2021,0.06,0.24,0.16,0.12,0.29,0.46,0.21,,1.54
03-03-2021,0.06,0.24,,,,0.2,0.09,,0.59
04-03-2021,0.24,0.24,0.68,0.28,0.51,0.46,0.6,,3.01
05-03-2021,0.33,0.57,0.11,0.06,0.04,0.43,0.45,,1.99
06-03-2021,0.12,0.36,0.32,0.13,0.09,0.44,0.37,,1.83
07-03-2021,0.21,0.6,0.21,0.19,0.26,0.27,0.28,,2.02
08-03-2021,0.09,1.17,0.06,0.03,0.12,0.08,0.35,,1.9
09-03-2021,0.36,0.66,0.27,0.08,0.15,0.27,0.2,,1.99
10-03-2021,0.15,0.48,0.23,0.15,1.22,0.21,0.22,1.57,4.23
11-03-2021,0.06,0.39,0.18,0.11,0.27,0.33,0.55,,1.89
12-03-2021,0.18,5.25,0.14,0.16,0.16,0.15,0.16,,6.2
13-03-2021,0.84,0.18,0.18,0.29,0.2,0.46,0.46,,2.61
14-03-2021,0.24,0.18,0.28,0.08,0.2,0.7,0.35,,2.03
15-03-2021,0.18,0.21,0.1,0.18,0.11,0.09,0.27,,1.14
16-03-2021,0.42,0.42,0.19,0.15,,0.15,0.11,,1.44
17-03-2021,0.12,0.24,0.05,0.14,,0.35,0.09,,0.99
18-03-2021,0.96,1.8,0.22,0.16,0.9,0.37,0.36,1.52,6.29
19-03-2021,0.12,1.65,0.12,0.03,0.18,0.16,0.19,0.6,3.05
20-03-2021,0.24,3,0.16,0.03,0.24,0.2,0.38,,4.25
21-03-2021,0.09,0.15,0.25,0.26,0.12,0.38,0.4,,1.65
22-03-2021,0.15,0.33,0.45,0.28,0.59,0.71,0.34,1.59,4.44
23-03-2021,0.27,0.96,0.08,0.09,0.36,0.09,0.25,,2.1
24-03-2021,0.03,0.72,0.15,0.18,0.29,0.33,0.2,,1.9
25-03-2021,0.84,0.93,0.15,0.13,0.37,0.18,0.22,,2.82
26-03-2021,0.09,0.33,0.47,0.38,,0.29,0.18,,1.74
27-03-2021,0.15,0.27,0.08,0.16,0.59,0.29,0.13,,1.67
28-03-2021,0.12,0.36,0.25,0.12,0.3,0.1,0.07,,1.32
29-03-2021,0.15,0.15,0.21,0.09,0.13,0.14,0.09,,0.96
30-03-2021,0.03,0.45,0.16,0.06,,0.38,0.16,,1.24
31-03-2021,0.03,0.39,0.18,0.12,,0.06,0.39,,1.17
01-04-2021,1.29,2.43,0.14,,,0.16,0.35,,4.37
02-04-2021,0.24,0.15,0.36,0.13,0.32,0.25,0.74,1.65,3.84
03-04-2021,0.03,0.72,0.24,0.06,0.36,0.22,0.36,3.34,5.33
04-04-2021,0.12,0.24,0.08,0.03,0.25,,,,0.72
05-04-2021,0.06,0.27,0.09,0.06,0.32,0.25,0.29,5.31,6.65
06-04-2021,0.15,0.24,0.2,0.09,0.33,0.05,0.15,,1.21
07-04-2021,0.03,0.6,,0.06,0.13,0.24,,,1.06
08-04-2021,0.12,0.09,0.17,0.11,0.37,0.21,0.34,,1.41
