date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,562430_Compiled_0.csv
31-12-2016,0.32,0.3,0.8,0.32,0.63,,,,,2.37
01-01-2017,0.65,0.32,0.6,0.64,0.96,1.57,0.94,,,5.68
02-01-2017,0.74,0.14,0.09,,0.49,0.32,0.76,,,2.54
03-01-2017,,0.08,,0.08,0.4,0.04,1.57,,,2.17
04-01-2017,0.22,0.26,0.17,0.75,0.36,0.17,0.8,,,2.73
05-01-2017,0.42,0.4,0.44,0.25,0.16,0.26,,,,1.93
06-01-2017,0.71,,0.26,0.08,0.38,0.32,0.82,,,2.57
07-01-2017,0.68,0.31,0.15,,0.16,0.08,,,,1.38
08-01-2017,,,0.06,0.3,0.38,0.08,,,,0.82
09-01-2017,,,0.14,0.15,0.28,,,,,0.57
10-01-2017,,,0.08,,0.08,0.15,1.3,,,1.61
11-01-2017,0.24,0.05,0.05,0.11,0.09,,,,,0.54
12-01-2017,0.23,0.16,0.18,0.1,0.1,0.16,0.81,,,1.74
13-01-2017,0.33,0.1,0.39,0.1,0.05,0.05,,,,1.02
14-01-2017,0.64,0.12,0.32,0.05,0.32,0.05,0.49,,,1.99
15-01-2017,,,0.07,0.05,0.41,,,,,0.53
16-01-2017,,0.12,,,0.18,0.05,,,,0.35
17-01-2017,,,,0.05,,0.05,,,,0.1
18-01-2017,0.09,0.14,0.11,0.06,0.16,0.11,0.21,,,0.88
19-01-2017,0.07,0.53,0.07,0.09,0.1,0.03,0.17,,,1.06
20-01-2017,0.07,0.23,0.31,0.06,0.04,,,,,0.71
21-01-2017,0.14,0.08,0.12,0.12,,0.09,0.61,,,1.16
22-01-2017,0.2,0.16,0.17,0.41,0.1,0.29,0.31,,,1.64
23-01-2017,0.1,,,0.08,,0.17,,,,0.35
24-01-2017,0.23,0.29,,0.16,0.06,0.12,,,,0.86
25-01-2017,0.05,,,,0.03,0.06,,,,0.14
26-01-2017,0.07,0.1,,0.12,0.03,0.17,,,,0.49
27-01-2017,0.08,0.04,0.46,0.11,,,0.14,,,0.83
28-01-2017,0.3,0.03,0.27,0.17,0.27,0.19,0.98,,,2.21
29-01-2017,0.03,0.1,,0.17,0.16,0.07,,,,0.53
30-01-2017,0.2,0.05,,,,0.32,,,,0.57
31-01-2017,0.09,0.09,,,,0.13,,,,0.31
01-02-2017,0.05,0.05,,,,0.12,0.32,,,0.54
02-02-2017,0.04,,0.09,0.05,,0.27,0.32,,,0.77
03-02-2017,0.09,0.03,0.08,0.07,0.08,0.22,,,,0.57
04-02-2017,0.05,0.11,,,,,,,,0.16
05-02-2017,0.09,,,,0.09,,,,,0.18
06-02-2017,0.14,0.05,0.09,0.19,0.15,,,,,0.62
07-02-2017,0.2,0.14,,,0.1,,,,,0.44
08-02-2017,0.13,,,0.49,0.13,,,,,0.75
09-02-2017,0.05,0.14,,,0.08,0.03,0.17,,,0.47
10-02-2017,0.06,0.03,,0.03,0.06,0.12,,,,0.3
11-02-2017,0.12,0.04,0.08,,0.18,,,,,0.42
12-02-2017,,0.17,0.07,,,,0.06,,,0.3
13-02-2017,0.05,0.09,,,0.12,,,,,0.26
14-02-2017,0.05,0.1,0.18,,0.09,0.12,,,,0.54
15-02-2017,0.17,0.08,,0.03,,,,,,0.28
16-02-2017,0.12,0.12,,0.14,0.07,,,,,0.45
17-02-2017,0.2,0.03,,0.07,0.12,,,,,0.42
18-02-2017,0.09,0.03,,,0.17,,0.35,,,0.64
19-02-2017,0.15,0.09,0.06,,0.09,,0.58,,,0.97
