date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,dailyTotal_7,dailyTotal_8,227300_Compiled_0.csv
2017-11-04,9.48,1.02,,,,,8.29,9.99,6.98,35.760000000000005
2017-11-05,8.38,0.88,2.06,,,,7.32,12.33,4.19,35.16
2017-11-06,5.48,,1.96,,,,5.709999999999999,10.72,4.82,28.69
2017-11-07,3.8,0.62,1.13,,,,6.84,8.61,1.63,22.63
2017-11-08,6.75,0.92,2.35,,,41.07,8.29,14.080000000000002,8.28,81.74
2017-11-09,5.1400000000000015,0.49,2.03,,,,4.63,12.62,8.48,33.39
2017-11-10,6.62,,,,,,4.47,7.17,,18.26
2017-11-11,8.950000000000003,1.44,2.1,,,,11.78,13.38,3.89,41.540000000000006
2017-11-12,5.18,,0.33,,,,4.18,8.39,6.77,24.849999999999998
2017-11-13,5.880000000000001,0.5,1.04,,,,7.159999999999998,4.91,1.06,20.549999999999997
2017-11-14,6.0299999999999985,,1.4,,,,8.77,7.27,4.54,28.009999999999998
2017-11-15,6.04,,,,,,4.23,7.34,8.2,25.81
2017-11-16,4.51,,0.98,,,,6.32,14.11,3.5,29.42
2017-11-17,10.43,,1.35,,,,12.87,16.83,,41.48
2017-11-18,7.3599999999999985,0.32,0.62,,,,11.07,14.27,10.7,44.34
2017-11-19,7.619999999999999,0.83,0.83,,,,7.43,6.68,3.07,26.46
2017-11-20,4.539999999999999,,0.7,,,,6.880000000000001,6.260000000000002,1.32,19.700000000000003
2017-11-21,5.65,1.53,1.85,,,,7.3,12.31,8.76,37.4
2017-11-22,4.55,0.63,1.82,,,,8.6,13.87,8.03,37.5
2017-11-23,9.79,0.79,1.2,,,,7.6099999999999985,10.14,3.63,33.16
2017-11-24,8.35,1.34,,,,,10.33,9.65,7.49,37.160000000000004
2017-11-25,14.49,1.59,2.02,,,,17.63,17.14,9.28,62.15
2017-11-26,10.41,2.04,,,,,9.43,15.27,2.97,40.12
2017-11-27,8.92,0.51,1.33,,,,4.59,6.58,5.06,26.99
2017-11-28,7.77,0.99,1.73,,,,8.309999999999999,10.54,7.86,37.199999999999996
2017-11-29,6.85,,0.4,,,,2.12,5.4,3.88,18.65
2017-11-30,11.21,,0.35,,,,7.25,7.629999999999999,5.92,32.36
2017-12-01,9.56,,,,,,11.37,14.54,5.95,41.42
2017-12-02,9.03,0.94,1.98,,,,17.29,14.83,3.24,47.309999999999995
2017-12-03,8.56,1.7,3.82,,,,11.64,11.71,4.55,41.98
2017-12-04,11.35,0.54,1.25,,,,7.17,6.32,4.92,31.550000000000004
2017-12-05,9.19,1.3,2.56,,,,17.34,20.41,14.78,65.58
2017-12-06,8.59,1.62,1.31,,,,17.900000000000006,14.65,,44.07000000000001
2017-12-07,7.95,0.66,1.7,,,,13.23,10.94,1.99,36.470000000000006
2017-12-08,17.71,2.05,,,,,22.49,28.61,7.55,78.41
2017-12-09,9.37,1.35,2.47,,,,14.93,16.689999999999998,1.3,46.10999999999999
2017-12-10,9.44,,2.68,,,,21.42,21.84,16.05,71.43
2017-12-11,10.65,0.82,1.01,,,,10.73,14.739999999999998,4.29,42.24
2017-12-12,11.1,0.58,1.26,,,,5.47,10.6,,29.009999999999998
2017-12-13,8.81,,1.67,,,,17.869999999999994,13.24,10.11,51.69999999999999
2017-12-14,7.83,1.41,,,,,9.19,14.54,4.3,37.269999999999996
2017-12-15,11.5,1.37,3.12,,,,15.31,16.92,7.0,55.220000000000006
2017-12-16,8.15,0.86,0.39,,,,9.65,14.28,2.76,36.089999999999996
2017-12-17,9.15,1.56,,,,,8.07,12.06,,30.840000000000003
2017-12-18,6.31,0.6,2.32,,,,5.16,6.08,,20.47
