date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,1567030_Compiled_0.csv
2021-03-10,0.03,,,,,,,0.03
2021-03-12,,,,,,0.03,,0.03
2021-03-13,,1.05,,,0.41,0.44,0.42,2.32
2021-03-16,0.03,,0.19,,,,,0.22
2021-03-18,0.06,0.12,0.03,,,,,0.21
2021-03-19,0.03,,,0.03,0.03,,,0.09
2021-03-20,,,,0.03,,,,0.03
2021-03-21,,0.03,0.03,0.21,,,,0.27
2021-03-24,0.03,0.03,0.06,0.03,0.03,0.03,0.09,0.3
2021-03-25,0.09,,,,,,,0.09
2021-03-27,,,0.03,,0.09,,,0.12
2021-03-28,0.03,,,,0.03,,,0.06
2021-03-30,,,,0.54,0.03,,,0.5700000000000001
2021-03-31,,0.03,0.03,,0.03,,0.07,0.16
2021-04-01,,,,,0.03,,,0.03
2021-04-04,0.03,,,,,,0.07,0.1
2021-04-05,,,0.06,,,,,0.06
2021-04-07,,,,,,0.09,,0.09
2021-04-08,0.03,0.03,0.03,,,,,0.09
