date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2019-07-29,0.74,0.54,0.14,2.61,,4.029999999999999
2019-07-30,0.15,0.39,1.24,29.2,,30.98
2019-07-31,0.19,0.27,0.89,,,1.35
2019-08-01,0.36,0.35,0.5800000000000001,0.06,,1.35
2019-08-02,0.8,0.48,0.69,2.65,,4.62
2019-08-03,0.34,0.48,0.56,1.27,,2.6500000000000004
2019-08-04,0.21,0.35000000000000003,0.5700000000000001,6.49,,7.62
2019-08-05,0.26,0.22000000000000006,0.76,2.06,,3.3000000000000003
2019-08-06,0.68,0.64,1.12,0.16999999999999998,,2.6100000000000003
2019-08-07,0.5,0.74,0.6499999999999999,0.30000000000000004,,2.19
2019-08-08,0.39,0.30000000000000004,0.43,1.15,,2.27
2019-08-09,0.53,0.8,1.5700000000000005,1.64,,4.54
2019-08-10,0.73,0.61,1.02,6.58,,8.94
2019-08-11,0.42,0.31,0.4500000000000001,14.58,,15.76
2019-08-12,0.62,0.6,1.0499999999999998,10.62,,12.889999999999999
2019-08-13,0.09,0.1,1.4300000000000002,,,1.62
2019-08-14,0.24,0.15,0.32,,,0.71
2019-08-15,0.92,1.06,0.9500000000000002,12.41,,15.34
2019-08-16,0.18,0.18,0.18,4.03,,4.57
2019-08-17,0.97,0.6799999999999999,0.99,2.34,,4.9799999999999995
2019-08-18,0.3,0.31,0.53,,,1.1400000000000001
2019-08-19,0.5,0.37,0.54,0.7,,2.1100000000000003
2019-08-20,0.66,0.29,0.79,1.2100000000000002,,2.95
2019-08-21,0.16,0.31000000000000005,0.6400000000000001,,,1.1100000000000003
2019-08-22,0.23,0.7199999999999999,3.79,0.18,,4.92
2019-08-23,0.24,0.1,0.06,0.1,,0.5
2019-08-24,0.53,0.55,0.81,4.24,,6.130000000000001
2019-08-25,0.42,0.2,0.8,0.14,,1.56
2019-08-26,0.45,0.4300000000000001,0.24,0.79,,1.9100000000000001
2019-08-27,0.2,0.06,0.16,,,0.42000000000000004
2019-08-28,0.18,0.24,0.46,0.36,,1.24
2019-08-29,0.22,0.29000000000000004,0.16,15.81,,16.48
2019-08-30,0.03,0.25,0.06,0.05,,0.39
2019-08-31,0.8,0.7000000000000002,0.8999999999999999,1.58,,3.9800000000000004
2019-09-01,0.39,0.45,0.41,0.11,,1.36
2019-09-02,0.21,0.35,0.44,0.52,,1.52
2019-09-03,0.16,0.2,0.23,0.08,,0.6699999999999999
2019-09-04,0.46,0.6200000000000001,1.0,1.18,,3.26
2019-09-05,0.21,0.19,0.34,,,0.74
2019-09-06,0.42,1.0,1.4,25.22,,28.04
2019-09-07,0.65,0.33,0.55,0.21,,1.74
2019-09-08,0.69,0.5499999999999999,0.33,25.28,,26.85
2019-09-09,0.4,0.15,0.07,0.25,,0.8700000000000001
2019-09-10,0.13,0.27,0.12,0.98,,1.5
2019-09-11,0.36,0.29000000000000004,0.29000000000000004,1.88,,2.82
2019-09-12,0.09,0.16,0.09,0.42,,0.76
2019-09-13,0.13,0.29000000000000004,0.33,0.88,,1.63
2019-09-14,0.99,0.61,1.1800000000000002,6.06,,8.84
2019-09-15,0.63,0.6000000000000001,1.2,8.17,,10.6
2019-09-16,0.36,0.06,0.48,10.51,,11.41
2019-09-17,0.31,0.3500000000000001,0.39,0.93,,1.9800000000000004
2019-09-18,0.2,0.19,0.65,1.11,,2.1500000000000004
2019-09-19,0.25,0.25,0.30000000000000004,0.03,,0.8300000000000001
2019-09-20,0.16999999999999998,0.18,0.26,,,0.61
2019-09-21,0.2,0.45,0.24,0.96,,1.85
2019-09-22,0.53,0.31000000000000005,0.54,,,1.3800000000000001
2019-09-23,0.42,0.4,0.4100000000000001,14.67,,15.9
2019-09-24,0.35,0.34,0.48,1.16,,2.33
2019-09-25,0.5700000000000001,0.21,0.15,0.19,,1.12
2019-09-26,0.18,0.25,0.11,7.260000000000002,,7.800000000000002
2019-09-27,0.46,0.12,0.31999999999999995,,,0.9
2019-09-28,0.16999999999999998,0.2,0.41,0.62,,1.4
2019-09-29,0.18,0.15,0.6600000000000001,0.2,,1.1900000000000002
2019-09-30,0.43,0.14,0.30000000000000004,1.86,,2.7300000000000004
2019-10-01,0.11,0.17,0.09,0.34,,0.71
2019-10-02,0.16,0.19,0.25,0.13,,0.73
2019-10-03,0.3,0.31,0.16999999999999998,0.94,,1.72
2019-10-04,0.18,0.22,0.09,0.3200000000000001,,0.81
2019-10-05,0.52,0.6100000000000001,1.03,14.29,,16.45
2019-10-06,0.35000000000000003,0.4,0.4,4.22,,5.369999999999999
2019-10-07,0.23,0.28,0.26,,,0.77
2019-10-08,0.06,,,0.08,,0.14
2019-10-09,0.12,0.18,0.29000000000000004,4.2700000000000005,,4.86
2019-10-10,0.36,0.31,0.29,0.22000000000000006,,1.18
2019-10-11,0.59,0.34,0.31000000000000005,0.03,,1.27
2019-10-12,0.1,0.17,0.19,2.69,,3.15
2019-10-13,0.24,0.03,0.1,,,0.37
2019-10-14,0.19,0.16,0.03,1.75,,2.13
2019-10-15,0.35000000000000003,0.33,0.2,0.74,,1.62
2019-10-16,0.11,0.30000000000000004,0.37,12.27,,13.049999999999999
2019-10-17,0.21,0.14,0.15,,,0.5
2019-10-18,0.4900000000000001,0.53,0.61,1.45,,3.08
2019-10-19,0.62,0.29,0.33,7.92,,9.16
2019-10-20,0.59,0.7999999999999999,0.6200000000000001,1.19,,3.1999999999999997
2019-10-21,0.52,0.44,0.35,1.87,,3.18
2019-10-22,0.1,0.19,0.2,3.56,,4.05
2019-10-23,0.8200000000000001,0.28,0.27,1.05,,2.42
2019-10-24,0.09,0.16999999999999998,0.16999999999999998,0.2,,0.63
2019-10-25,0.24,0.23,0.8600000000000001,0.07,,1.4000000000000001
