date,dailyTotal_0,dailyTotal_1,1127450_Compiled_0.csv
2019-10-03,,1.02,1.02
2019-10-04,,0.06,0.06
2019-10-05,,0.03,0.03
2019-10-14,,0.06,0.06
2019-10-27,,0.08,0.08
2019-11-03,,0.03,0.03
2019-11-06,,0.15,0.15
2019-11-09,,0.08,0.08
2019-11-17,0.05,,0.05
2019-11-20,,0.08,0.08
2019-11-21,,0.06,0.06
2019-11-22,0.03,0.28,0.31000000000000005
2019-11-27,,0.03,0.03
2019-11-28,,0.12,0.12
2019-12-02,0.21,0.39,0.6
2019-12-03,,0.51,0.51
2019-12-04,0.15,0.45,0.6
2019-12-05,0.12,0.24,0.36
2019-12-07,,0.15,0.15
2019-12-08,,0.09,0.09
2019-12-17,,0.06,0.06
2019-12-19,,0.39,0.39
2019-12-21,1.71,0.12,1.83
2019-12-22,,0.72,0.72
2019-12-23,,0.7799999999999999,0.7799999999999999
2019-12-24,,0.54,0.54
2019-12-25,,1.2300000000000002,1.2300000000000002
2019-12-26,0.39,2.88,3.27
2019-12-27,,0.15,0.15
2019-12-28,,0.09,0.09
2019-12-29,,0.12,0.12
2019-12-30,,0.99,0.99
2019-12-31,,0.42,0.42
2020-01-01,,0.42,0.42
2020-01-02,,0.54,0.54
2020-01-03,,3.9,3.9
2020-01-04,,0.15,0.15
2020-01-05,0.06,0.8400000000000001,0.9000000000000001
2020-01-06,0.27,0.48,0.75
2020-01-07,,0.5700000000000001,0.5700000000000001
2020-01-08,,3.18,3.18
2020-01-09,,0.15,0.15
2020-01-10,,2.22,2.22
2020-01-11,,3.87,3.87
2020-01-12,,0.18,0.18
2020-01-13,,2.13,2.13
2020-01-14,,1.02,1.02
2020-01-15,,6.659999999999998,6.659999999999998
2020-01-16,,5.25,5.25
2020-01-17,,1.41,1.41
2020-01-18,0.09,4.26,4.35
2020-01-19,,1.02,1.02
2020-01-20,,18.08,18.08
2020-01-22,,0.33,0.33
2020-01-23,,123.69,123.69
2020-01-24,,0.21,0.21
2020-01-25,,6.03,6.03
2020-01-26,,2.4599999999999995,2.4599999999999995
2020-01-27,,0.24,0.24
2020-01-28,,0.6599999999999999,0.6599999999999999
2020-01-29,,1.4400000000000002,1.4400000000000002
2020-01-31,,4.5,4.5
2020-02-01,,0.33,0.33
2020-02-02,,0.69,0.69
2020-02-03,,3.24,3.24
2020-02-04,0.3,28.71,29.01
2020-02-05,,0.8999999999999999,0.8999999999999999
2020-02-06,0.33,1.05,1.3800000000000001
2020-02-07,,10.920000000000002,10.920000000000002
2020-02-08,,0.30000000000000004,0.30000000000000004
2020-02-09,,14.76,14.76
2020-02-10,,0.42,0.42
2020-02-11,1.23,5.130000000000001,6.360000000000001
2020-02-12,,1.44,1.44
2020-02-13,,1.05,1.05
2020-02-14,,0.12,0.12
2020-02-15,,3.72,3.72
2020-02-16,,1.59,1.59
2020-02-17,,0.69,0.69
2020-02-18,,0.6,0.6
2020-02-19,,11.97,11.97
2020-02-20,,2.01,2.01
2020-02-21,,1.2600000000000002,1.2600000000000002
2020-02-22,,0.6599999999999999,0.6599999999999999
2020-02-23,,20.01,20.01
2020-02-24,,3.63,3.63
2020-02-25,,0.27,0.27
2020-02-26,0.36,7.229999999999999,7.589999999999999
2020-02-27,,0.81,0.81
2020-02-28,,2.97,2.97
2020-02-29,,0.36,0.36
2020-03-01,,4.4700000000000015,4.4700000000000015
2020-03-02,,1.23,1.23
2020-03-03,,0.24,0.24
2020-03-04,,1.29,1.29
2020-03-05,,2.13,2.13
2020-03-06,,0.96,0.96
2020-03-07,,3.33,3.33
2020-03-08,0.84,7.59,8.43
2020-03-09,,16.86,16.86
2020-03-10,,0.5700000000000001,0.5700000000000001
2020-03-11,,0.09,0.09
2020-03-12,,2.85,2.85
2020-03-14,0.87,8.61,9.479999999999999
2020-03-15,,4.2,4.2
2020-03-16,,6.57,6.57
2020-03-17,,0.7200000000000001,0.7200000000000001
2020-03-18,,0.8999999999999999,0.8999999999999999
2020-03-19,,2.61,2.61
2020-03-20,,4.71,4.71
2020-03-21,,2.43,2.43
2020-03-22,,1.11,1.11
2020-03-23,,2.88,2.88
2020-03-24,0.24,3.12,3.3600000000000003
2020-03-25,,0.66,0.66
2020-03-26,,20.16,20.16
2020-03-27,,37.5,37.5
2020-03-28,,4.53,4.53
2020-03-29,,2.28,2.28
2020-03-30,,6.69,6.69
2020-03-31,,43.83,43.83
2020-04-01,,5.550000000000002,5.550000000000002
2020-04-02,,26.52,26.52
2020-04-03,,269.1,269.1
2020-04-04,,16.86,16.86
2020-04-05,0.48,14.249999999999998,14.729999999999999
2020-04-06,,3.09,3.09
2020-04-07,,0.84,0.84
2020-04-08,,35.55000000000001,35.55000000000001
2020-04-09,,28.41,28.41
2020-04-10,,4.05,4.05
2020-04-11,,29.76,29.76
2020-04-12,,12.570000000000002,12.570000000000002
2020-04-13,,2.82,2.82
2020-04-14,,30.6,30.6
2020-04-15,,3.99,3.99
2020-04-16,,3.69,3.69
2020-04-17,,22.14,22.14
2020-04-18,,40.98,40.98
2020-04-19,,19.05,19.05
2020-04-20,,0.8400000000000001,0.8400000000000001
2020-04-21,,9.33,9.33
2020-04-23,,0.15,0.15
2020-04-24,,3.6,3.6
2020-04-25,,1.23,1.23
2020-04-26,,35.04,35.04
2020-04-27,,15.27,15.27
2020-04-28,,23.1,23.1
2020-04-29,0.54,131.16,131.7
2020-04-30,,7.83,7.83
2020-05-01,,4.26,4.26
2020-05-02,,5.4,5.4
2020-05-03,,21.6,21.6
2020-05-04,,29.04,29.04
2020-05-05,,19.2,19.2
2020-05-06,,0.8700000000000001,0.8700000000000001
2020-05-07,,0.30000000000000004,0.30000000000000004
2020-05-08,,2.67,2.67
2020-05-09,,1.7399999999999998,1.7399999999999998
2020-05-10,,1.23,1.23
2020-05-11,,0.24,0.24
2020-05-12,,0.42,0.42
2020-05-13,,52.05,52.05
2020-05-14,,0.66,0.66
2020-05-15,,3.24,3.24
2020-05-16,0.9,0.21,1.11
2020-05-18,,0.51,0.51
2020-05-19,,7.17,7.17
2020-05-20,0.69,,0.69
2020-05-21,,3.4800000000000004,3.4800000000000004
2020-05-22,,1.05,1.05
2020-05-23,,0.15,0.15
2020-05-24,,0.75,0.75
2020-05-25,,0.24,0.24
2020-05-26,,0.27,0.27
2020-05-27,,4.6800000000000015,4.6800000000000015
2020-05-28,,0.75,0.75
2020-05-29,,5.52,5.52
2020-05-30,,0.12,0.12
2020-05-31,,2.82,2.82
2020-06-01,,0.6,0.6
2020-06-02,,0.6599999999999999,0.6599999999999999
2020-06-03,,0.21,0.21
2020-06-04,,0.51,0.51
2020-06-05,,0.33,0.33
2020-06-06,,0.15,0.15
2020-06-07,,0.54,0.54
2020-06-08,0.51,0.12,0.63
2020-06-09,,6.0600000000000005,6.0600000000000005
2020-06-11,,4.739999999999998,4.739999999999998
2020-06-13,,0.24,0.24
2020-06-14,,0.27,0.27
2020-06-15,,7.83,7.83
2020-06-16,,2.04,2.04
2020-06-17,0.96,20.040000000000006,21.000000000000007
2020-06-18,,1.8000000000000005,1.8000000000000005
2020-06-19,,4.38,4.38
2020-06-20,,0.72,0.72
2020-06-22,,8.43,8.43
2020-06-23,,4.35,4.35
2020-06-24,,1.38,1.38
2020-06-25,,0.12,0.12
2020-06-26,,7.05,7.05
2020-06-27,,15.39,15.39
2020-06-28,0.42,0.54,0.96
2020-06-29,,0.6000000000000001,0.6000000000000001
2020-06-30,,1.92,1.92
2020-07-01,,1.32,1.32
2020-07-02,,3.03,3.03
2020-07-03,,2.07,2.07
2020-07-04,,0.45,0.45
2020-07-05,,4.05,4.05
2020-07-06,,1.7700000000000002,1.7700000000000002
2020-07-07,3.96,0.8400000000000001,4.8
2020-07-08,,0.18,0.18
2020-07-09,,55.29,55.29
2020-07-10,,44.67,44.67
2020-07-11,1.11,23.58,24.689999999999998
2020-07-12,,14.37,14.37
2020-07-13,,10.14,10.14
2020-07-14,,4.71,4.71
2020-07-15,,1.35,1.35
2020-07-16,2.97,2.52,5.49
2020-07-17,367.0,1.08,368.08
2020-07-18,103.67,14.23,117.9
2020-07-19,65.45,2.07,67.52
2020-07-20,87.19000000000003,3.45,90.64000000000003
2020-07-21,0.48,1.92,2.4
2020-07-22,3.73,0.6300000000000001,4.36
2020-07-23,132.47,1.38,133.85
2020-07-24,,1.1700000000000002,1.1700000000000002
2020-07-25,0.06,0.24,0.3
2020-07-26,0.21,6.33,6.54
2020-07-27,,1.08,1.08
2020-07-28,,1.14,1.14
2020-07-29,0.3,16.56,16.86
2020-07-30,0.21,,0.21
2020-07-31,,0.69,0.69
2020-08-01,2.1,0.33,2.43
2020-08-02,,0.81,0.81
2020-08-03,126.36,0.36,126.72
2020-08-04,8.67,3.51,12.18
2020-08-05,1.35,0.48,1.83
2020-08-06,0.36,0.48,0.84
2020-08-07,8.42,1.08,9.5
2020-08-08,1.86,1.71,3.5700000000000003
2020-08-09,141.24,0.09,141.33
2020-08-10,53.57,26.85,80.42
2020-08-11,47.83000000000001,7.4300000000000015,55.26000000000001
2020-08-12,32.830000000000005,0.8700000000000001,33.7
2020-08-13,70.77,1.16,71.92999999999999
2020-08-14,21.99,4.74,26.729999999999997
2020-08-15,13.73,0.51,14.24
2020-08-16,204.34,4.66,209.0
2020-08-17,12.11,3.58,15.69
2020-08-18,3.51,4.28,7.79
2020-08-19,18.06,3.21,21.27
2020-08-20,4.8599999999999985,0.57,5.429999999999999
2020-08-21,50.17,10.54,60.71
2020-08-22,5.489999999999998,0.84,6.329999999999998
2020-08-23,5.08,2.61,7.6899999999999995
2020-08-24,5.6,1.7100000000000002,7.31
2020-08-25,0.36,1.83,2.19
2020-08-26,25.77,0.24,26.009999999999998
2020-08-27,4.67,5.67,10.34
2020-08-28,132.67000000000002,0.66,133.33
2020-08-29,,6.0,6.0
2020-08-30,81.24,9.48,90.72
2020-08-31,4077.18,2.4000000000000004,4079.58
2020-09-01,1436.04,0.24,1436.28
2020-09-02,3.92,0.42,4.34
2020-09-03,6.39,5.22,11.61
2020-09-04,3.8,0.36,4.16
2020-09-05,0.8,3.18,3.9800000000000004
2020-09-06,13.87,4.7700000000000005,18.64
2020-09-07,38.18,0.78,38.96
2020-09-08,3.4599999999999995,1.38,4.84
2020-09-09,25.82,2.51,28.33
2020-09-10,0.09,9.69,9.78
2020-09-11,3.7,1.84,5.54
2020-09-12,4.25,2.76,7.01
2020-09-13,3.3,0.7200000000000001,4.02
2020-09-14,0.18,0.4500000000000001,0.6300000000000001
2020-09-15,0.63,0.34,0.97
2020-09-16,5.97,0.48,6.449999999999999
2020-09-17,17.02,2.7300000000000004,19.75
2020-09-18,0.41,2.13,2.54
2020-09-19,4.36,1.2000000000000002,5.5600000000000005
2020-09-20,28.43,0.21,28.64
2020-09-21,0.18,0.24,0.42
2020-09-22,0.03,0.45,0.48
2020-09-23,0.06,0.06,0.12
2020-09-24,428.82,0.66,429.48
2020-09-25,3.93,6.059999999999999,9.989999999999998
2020-09-26,4.87,0.27,5.140000000000001
2020-09-27,5.52,8.34,13.86
2020-09-28,1.29,0.96,2.25
2020-09-29,3.1500000000000004,0.27,3.4200000000000004
2020-09-30,31.36,18.3,49.66
2020-10-01,0.15,0.33,0.48
2020-10-02,0.48,1.89,2.37
2020-10-03,1.02,3.96,4.98
2020-10-04,904.54,0.15,904.6899999999999
2020-10-05,65.46000000000001,0.99,66.45
2020-10-06,13.180000000000005,6.86,20.040000000000006
2020-10-07,0.03,0.06,0.09
2020-10-08,0.12,0.36,0.48
2020-10-09,1.89,1.47,3.36
2020-10-10,423.99,0.15,424.14
2020-10-11,0.30000000000000004,0.09,0.39
2020-10-12,0.44,0.27,0.71
2020-10-13,6.800000000000002,2.45,9.250000000000002
2020-10-14,1263.51,4.96,1268.47
2020-10-15,45.7,4.35,50.050000000000004
2020-10-16,105.63,0.72,106.35
2020-10-17,6.69,0.6599999999999999,7.3500000000000005
2020-10-18,7.11,1.41,8.52
2020-10-19,0.42,0.69,1.1099999999999999
2020-10-20,83.47999999999998,0.36,83.83999999999997
2020-10-21,1982.0,0.48,1982.48
2020-10-22,0.99,3.63,4.62
2020-10-23,265.06,,265.06
2020-10-24,3.09,0.12,3.21
2020-10-25,267.36,,267.36
2020-10-26,0.96,3.12,4.08
2020-10-27,1.53,1.6800000000000002,3.21
2020-10-28,0.54,0.24,0.78
2020-10-29,0.03,1.77,1.8
2020-10-30,10.499999999999998,8.309999999999999,18.809999999999995
2020-10-31,50.2,2.91,53.11
2020-11-01,264.92,4.79,269.71000000000004
2020-11-02,18.3,11.04,29.34
2020-11-03,33.92,7.08,41.0
2020-11-04,,2.55,2.55
2020-11-05,0.6599999999999999,5.129999999999999,5.789999999999999
2020-11-06,30.16,0.6599999999999999,30.82
2020-11-07,1.17,4.53,5.7
2020-11-08,8.04,4.98,13.02
2020-11-09,3.12,6.84,9.96
2020-11-10,4.02,8.219999999999999,12.239999999999998
2020-11-11,0.93,3.54,4.47
2020-11-12,56.86,8.66,65.52
2020-11-13,0.63,5.26,5.89
2020-11-14,8.219999999999999,2.4,10.62
2020-11-15,5.509999999999999,6.64,12.149999999999999
2020-11-16,7.53,3.12,10.65
2020-11-17,0.99,3.9300000000000006,4.920000000000001
2020-11-18,8.190000000000001,10.52,18.71
2020-11-19,2.39,1.38,3.77
2020-11-20,1.8,3.63,5.43
2020-11-21,3.9,6.51,10.41
2020-11-22,10.01,3.78,13.79
2020-11-23,3.57,3.6,7.17
2020-11-24,2.19,4.59,6.779999999999999
2020-11-25,2.37,5.76,8.129999999999999
2020-11-26,5.73,0.21,5.94
2020-11-27,1.8,7.800000000000002,9.600000000000001
2020-11-28,35.55,2.79,38.339999999999996
2020-11-29,11.49,7.08,18.57
2020-11-30,162.22,7.079999999999999,169.3
2020-12-01,2.61,7.41,10.02
2020-12-02,341.6,12.509999999999998,354.11
2020-12-03,1.35,1.14,2.49
2020-12-04,0.51,0.66,1.17
2020-12-05,5.85,5.159999999999998,11.009999999999998
2020-12-06,7.380000000000001,22.23,29.61
2020-12-07,3.87,3.75,7.62
2020-12-08,6.2700000000000005,3.6,9.870000000000001
2020-12-09,1.08,0.18,1.26
2020-12-10,1.92,3.09,5.01
2020-12-11,214.91,2.46,217.37
2020-12-12,14.65,10.11,24.759999999999998
2020-12-13,8.58,0.36,8.94
2020-12-14,3.9,9.3,13.200000000000001
2020-12-15,4.830000000000001,0.8200000000000001,5.650000000000001
2020-12-16,0.54,2.67,3.21
2020-12-17,159.52,11.44,170.96
2020-12-18,101.58,4.739999999999998,106.32
2020-12-19,2.64,3.78,6.42
2020-12-20,7.4300000000000015,4.11,11.540000000000003
2020-12-21,1.7399999999999998,6.7799999999999985,8.519999999999998
2020-12-22,1.49,30.83,32.32
2020-12-23,13.43,0.42,13.85
2020-12-24,0.03,7.22,7.25
2020-12-25,341.15,9.59,350.73999999999995
2020-12-26,19.08,12.02,31.099999999999998
2020-12-27,2.01,9.659999999999998,11.669999999999998
2020-12-28,0.9,,0.9
2020-12-29,1.47,5.550000000000002,7.020000000000001
2020-12-30,0.51,7.38,7.89
2020-12-31,4.17,0.42,4.59
2021-01-01,1.83,5.9700000000000015,7.800000000000002
2021-01-02,16.22,5.91,22.13
2021-01-03,7.4,0.9,8.3
2021-01-04,11.7,1.08,12.78
2021-01-05,11.02,0.84,11.86
2021-01-06,11.42,3.8,15.219999999999999
2021-01-07,5.91,1.59,7.5
2021-01-08,29.46,2.9199999999999995,32.38
2021-01-09,0.33,5.4,5.73
2021-01-10,94.86,7.080000000000001,101.94
2021-01-11,15.65,1.35,17.0
2021-01-12,3.57,11.43,15.0
2021-01-13,5.7700000000000005,1.15,6.92
2021-01-14,3.84,1.71,5.55
2021-01-15,35.160000000000004,1.5,36.660000000000004
2021-01-16,0.21,4.53,4.74
2021-01-17,303.32,4.53,307.84999999999997
2021-01-18,8.05,6.36,14.41
2021-01-19,3.75,0.96,4.71
2021-01-20,4.55,2.43,6.98
2021-01-21,0.54,1.59,2.13
2021-01-22,1.44,1.11,2.55
2021-01-23,7.949999999999998,4.32,12.27
2021-01-24,19.75,0.21,19.96
2021-01-25,51.02,15.15,66.17
2021-01-26,20.890000000000004,7.5299999999999985,28.42
2021-01-27,17.47,1.86,19.33
2021-01-28,1.17,0.96,2.13
2021-01-29,2.62,2.19,4.8100000000000005
2021-01-30,2.07,2.58,4.65
2021-01-31,943.06,1.2,944.26
2021-02-01,15.73,5.159999999999998,20.89
2021-02-02,3.93,1.6800000000000002,5.61
2021-02-03,18.03,0.66,18.69
2021-02-04,121.54,0.87,122.41000000000001
2021-02-05,13.65,0.81,14.46
2021-02-06,0.51,2.28,2.79
2021-02-07,0.39,0.69,1.08
2021-02-08,6.15,3.27,9.42
2021-02-09,1.23,20.22,21.45
2021-02-10,13.32,3.54,16.86
2021-02-11,35.34,1.14,36.480000000000004
2021-02-12,40.68,2.7,43.38
2021-02-13,24.42,1.65,26.07
2021-02-14,7.89,6.03,13.92
2021-02-15,19.59,2.7,22.29
2021-02-16,33.3,5.46,38.76
2021-02-17,22.020000000000003,3.4000000000000004,25.42
2021-02-18,7.739999999999998,2.85,10.589999999999998
2021-02-19,3.53,6.83,10.36
2021-02-20,2.33,1.29,3.62
2021-02-21,15.55,3.15,18.7
2021-02-22,6.54,1.47,8.01
2021-02-23,5.19,0.57,5.760000000000001
2021-02-24,0.72,1.7400000000000002,2.46
2021-02-25,24.77,3.39,28.16
2021-02-26,55.88,2.25,58.13
2021-02-27,11.04,2.19,13.229999999999999
2021-02-28,50.42,2.79,53.21
2021-03-01,28.69,2.61,31.3
2021-03-02,6.72,9.39,16.11
2021-03-03,1.81,5.25,7.0600000000000005
2021-03-04,99.24,3.69,102.92999999999999
2021-03-05,7.1400000000000015,2.7299999999999995,9.870000000000001
2021-03-06,10.6,11.61,22.21
2021-03-07,0.09,0.33,0.42000000000000004
2021-03-08,2.46,1.83,4.29
2021-03-09,506.84,1.32,508.15999999999997
2021-03-10,6.57,3.87,10.440000000000001
2021-03-11,2.53,2.13,4.66
2021-03-12,32.19,5.67,37.86
2021-03-13,26.53,5.61,32.14
2021-03-14,5.8,3.21,9.01
2021-03-15,6.5699999999999985,11.249999999999998,17.819999999999997
2021-03-16,20.95,11.75,32.7
2021-03-17,621.1700000000002,20.47,641.6400000000002
2021-03-18,9.96,12.17,22.130000000000003
2021-03-19,2.6700000000000004,5.4,8.07
2021-03-20,62.71,16.39,79.1
2021-03-21,4.510000000000002,39.42,43.93000000000001
2021-03-22,4.84,16.2,21.04
2021-03-23,362.44,7.74,370.18
2021-03-24,9.54,8.299999999999999,17.839999999999996
2021-03-25,90.7,20.74,111.44
2021-03-26,14.820000000000002,13.1,27.92
2021-03-27,1.83,6.69,8.52
2021-03-28,35.64999999999999,4.1099999999999985,39.75999999999999
2021-03-29,15.19,88.29,103.48
2021-03-30,16.84,2.4,19.24
2021-03-31,0.6299999999999999,2.37,3.0
2021-04-01,40.24000000000001,3.93,44.17000000000001
2021-04-02,3.33,6.87,10.2
2021-04-03,10.65,0.99,11.64
2021-04-04,0.72,1.08,1.8
2021-04-05,1.38,43.41,44.79
2021-04-06,0.48,21.06,21.54
2021-04-07,0.48,0.42,0.8999999999999999
2021-04-08,71.94000000000003,,71.94000000000003
