date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2019-02-07,7.17,,,,,,,,7.17
2019-02-08,12.03,,,,,,,,12.03
2019-02-09,10.83,,,,,,,,10.83
2019-02-10,22.5,,,,,,,,22.5
2019-02-11,11.64,,,,,,,,11.64
2019-02-12,35.61,,,,,,,,35.61
2019-02-13,40.92,,,,,,,,40.92
2019-02-14,4.38,,,,,,,,4.38
2019-02-15,7.11,,23.03,,,,,,30.14
2019-02-16,4.41,,,,,,,,4.41
2019-02-17,3.03,,,,,,,,3.03
2019-02-18,5.01,,,,,,,,5.01
2019-02-19,3.12,,,,,,,,3.12
2019-02-20,6.5,,,,,,,,6.5
2019-02-21,2.58,,,,,,,,2.58
2019-02-22,2.79,,,,,,,,2.79
2019-02-23,11.7,,,,,,,,11.7
2019-02-25,4.65,,,,,,,,4.65
2019-02-26,3.6,,31.65,,,,,,35.25
2019-02-28,5.07,,,,,,,,5.07
2019-03-02,3.54,,,,,,,,3.54
2019-03-03,3.54,,,12.24,,,,,15.780000000000001
2019-03-04,3.27,,,,,,,,3.27
2019-03-05,2.04,,,,,,,,2.04
2019-03-07,1.68,,,,,,,,1.68
2019-03-08,10.23,,,,,,,,10.23
2019-03-09,73.48,42.05,33.79,14.14,,31.21,,,194.67000000000002
2019-03-10,3.06,,,,,,,,3.06
2019-03-11,3.6,,,,,,,,3.6
2019-03-12,1.62,,,,,,,,1.62
2019-03-14,4.8,,,,,,,,4.8
2019-03-15,9.0,,,,,,,,9.0
2019-03-16,8.94,,,,,,,,8.94
2019-03-17,8.64,,,,,,,,8.64
2019-03-18,2.34,,,,,,,,2.34
2019-03-19,6.75,,,,,,,,6.75
2019-03-20,2.85,,,,,,,,2.85
2019-03-21,2.13,,,,,,,,2.13
2019-03-22,3.78,,,,,,,,3.78
2019-03-23,4.11,,,,,,,,4.11
2019-03-24,44.08,,,,,,,,44.08
2019-03-26,1.86,,,,,,,,1.86
2019-03-27,6.31,,,,,,,,6.31
2019-03-28,3.9,,,,,,,,3.9
2019-03-29,2.1,,,,,,,,2.1
2019-04-01,2.07,,,,,,,,2.07
2019-04-02,2.52,,,,,,,,2.52
2019-04-03,2.16,,,,,,,,2.16
2019-04-04,1.44,,,,,,,,1.44
2019-04-05,2.73,,,,,,,,2.73
2019-04-06,3.15,,,,,,,,3.15
2019-04-08,1.92,,,,,,,,1.92
2019-04-09,11.37,,,,,,,,11.37
2019-04-10,1.38,,,,,,,,1.38
2019-04-11,4.77,,,,,,,,4.77
2019-04-12,1.65,,,,,,,,1.65
2019-04-13,2.22,,,,15.89,,,,18.11
2019-04-14,2.19,,,,,,,,2.19
2019-04-15,1.23,,,,,,,,1.23
2019-04-16,1.2,,,,,,,,1.2
2019-04-17,1.74,,,,,,,,1.74
2019-04-19,1.89,,3.45,,,,,,5.34
2019-04-20,9.81,,,,,,,,9.81
2019-04-21,7.11,,,,,,,,7.11
2019-04-22,1.8,,,,,,,,1.8
2019-04-24,1.17,,,,,,,,1.17
2019-04-25,1.08,,,,,,,,1.08
2019-04-26,6.21,,,,,,,,6.21
2019-04-28,6.96,,,,,,,,6.96
2019-04-29,16.38,,,,,,,,16.38
2019-04-30,11.25,,,,,,,,11.25
2019-05-01,6.87,,,,,,,,6.87
2019-05-02,2.49,,,,,,,,2.49
2019-05-04,1.53,,,,,,,,1.53
2019-05-07,1.98,,,,,,,,1.98
2019-05-08,51.7,,,,,,,,51.7
2019-05-10,6.78,,,,,,,,6.78
2019-05-11,7.1,,,,,,,,7.1
2019-05-14,7.86,,,,,,,,7.86
2019-05-15,1.26,,,,,,,,1.26
2019-05-17,1.32,,,,,,,,1.32
2019-05-18,1.89,,,,,,,,1.89
2019-05-19,4.08,,,,,,,,4.08
2019-05-20,77.88,,,,,,,,77.88
2019-05-21,6.03,,,,,,,,6.03
2019-05-22,1.56,,,,,,,,1.56
2019-05-23,2.25,,,,,,,,2.25
2019-05-24,1.59,,,,,,,,1.59
2019-05-25,3.66,,,,,,,,3.66
2019-05-26,4.05,,,,,,,,4.05
2019-05-27,8.04,,,,,,,,8.04
2019-05-29,15.18,,,,,,,,15.18
2019-05-30,1.29,,,,,,,,1.29
2019-06-02,136.77,,,,,,,,136.77
2019-06-03,32.97,,,,,,,,32.97
2019-06-04,60.39,,,,,,,,60.39
2019-06-05,4.84,,,,,,,,4.84
2019-06-06,4.95,,,,,,,,4.95
2019-06-07,1.41,,,,,,,,1.41
2019-06-08,17.06,33.63,22.48,,,,,,73.17
2019-06-09,1.95,,,,,,,,1.95
2019-06-11,0.93,,,,,,,,0.93
2019-06-18,17.07,,,,,,,,17.07
2019-06-20,20.57,,,,,,,,20.57
2019-06-21,1.05,,,,,,,,1.05
2019-06-23,2.82,,,,,,,,2.82
2019-06-26,3.39,,,,,,,,3.39
2019-06-27,4.32,,,,,,,,4.32
2019-06-29,107.24,,,,,,,,107.24
2019-06-30,10.14,,,,,,,,10.14
2019-07-01,5.16,,,,,,,,5.16
2019-07-02,2.64,,,,,,,,2.64
2019-07-05,2.01,,,,,,,,2.01
2019-07-06,10.51,,,,,,,,10.51
2019-07-07,4.56,,,,,,,,4.56
