date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2020-09-11,7841.02,,,,,,,,7841.02
2020-09-12,7412.8,,,,,,,,7412.8
2020-09-13,1969.0,,,,,,,,1969.0
2020-09-14,6289.35,,,,,,,,6289.35
2020-09-15,1864.76,,,,,,,,1864.76
2020-09-16,4516.9,,,,,,,,4516.9
2020-09-17,1190.8,,,,,,,,1190.8
2020-09-18,1145.13,,,,,,,,1145.13
2020-09-19,1636.58,,,,,,,,1636.58
2020-09-20,2825.64,,,,,,,,2825.64
2020-09-21,1847.71,,,,,,,,1847.71
2020-09-22,2053.05,,,,,,,,2053.05
2020-09-23,1272.25,,,,,,,,1272.25
2020-09-24,2196.47,,,,,,,,2196.47
2020-09-25,2914.5,,,,,,,,2914.5
2020-09-26,1296.59,,,,,,,,1296.59
2020-09-27,498.01,,,,,,,,498.01
2020-09-28,249.98,,,,,,,,249.98
2020-09-29,875.56,,,,,,,,875.56
2020-09-30,1473.7,,,,,,,,1473.7
2020-10-01,1906.88,,,,,51.7,,,1958.5800000000002
2020-10-02,544.81,,,,,,,,544.81
2020-10-03,1041.86,,,,,,,,1041.86
2020-10-04,1135.11,,,,,,,,1135.11
2020-10-05,1417.83,,,,,,,,1417.83
2020-10-06,496.11,,,,,,,,496.11
2020-10-07,697.77,,,,,,,,697.77
2020-10-08,1659.16,,,,,,,,1659.16
2020-10-09,2390.46,,,,,,,,2390.46
2020-10-10,1623.64,,,,,,,,1623.64
2020-10-11,5699.16,,,,,,,,5699.16
2020-10-12,2023.68,,,,,,,,2023.68
2020-10-13,16397.52,,,,,,,,16397.52
2020-10-14,1587.72,,,,,,,,1587.72
2020-10-15,1503.35,,,,,,,,1503.35
2020-10-16,1693.35,,,,,,,,1693.35
2020-10-17,1048.49,,,,,,,,1048.49
2020-10-18,2414.61,,,,,,,,2414.61
2020-10-19,331.66,,,,,,,,331.66
2020-10-20,761.32,,,,,,,,761.32
2020-10-21,1647.9,,,,,,,,1647.9
2020-10-22,1086.74,,,,,,,,1086.74
2020-10-23,1223.22,,,,,,,,1223.22
2020-10-24,3455.43,,,,,,,,3455.43
2020-10-25,2707.12,,,,,,,,2707.12
2020-10-26,1122.4,,,,,,,,1122.4
2020-10-27,1506.28,,,,,,,,1506.28
2020-10-28,596.09,,,,,,,,596.09
2020-10-29,3546.14,,,,,,,,3546.14
2020-10-30,1127.57,,,,,,,,1127.57
2020-10-31,10886.78,,,,,,,,10886.78
2020-11-01,2129.2,29.01,,,,,,,2158.21
2020-11-02,1977.06,,,,,,,,1977.06
2020-11-03,2885.5,,,,,,,,2885.5
2020-11-04,1916.77,,,,,,,,1916.77
2020-11-05,1727.18,,,,,,,,1727.18
2020-11-06,2667.7,,,,,,,,2667.7
2020-11-07,3793.88,,,,,,,,3793.88
2020-11-08,5225.76,,,,,,,,5225.76
2020-11-09,2384.64,,,,,,,,2384.64
2020-11-10,2817.93,,,,,,,,2817.93
2020-11-11,2711.78,,,,,,,,2711.78
2020-11-12,3292.52,,,,,,,,3292.52
2020-11-13,4604.04,,,,,,,,4604.04
2020-11-14,4015.9,,,,,,,,4015.9
2020-11-15,3322.82,,,,,,,,3322.82
2020-11-16,4872.17,,,,,,,,4872.17
2020-11-17,2870.38,,,,,,,,2870.38
2020-11-18,2760.45,,,,,,,,2760.45
2020-11-19,2778.23,,,,,,,,2778.23
2020-11-20,2760.42,,,,,,,,2760.42
2020-11-21,3244.58,,,,,,,,3244.58
2020-11-22,2696.21,,,,,,,,2696.21
2020-11-23,2264.49,,,,,,,,2264.49
2020-11-24,2101.46,,,,,,,,2101.46
2020-11-25,3010.23,,,,,,,,3010.23
2020-11-26,2339.58,,,,,,,,2339.58
2020-11-27,2501.66,,,,,,,,2501.66
2020-11-28,2238.21,,,,,,,,2238.21
2020-11-29,2280.59,,,,,,,,2280.59
2020-11-30,2079.94,,,,,,,,2079.94
2020-12-01,2191.99,,,,,,,,2191.99
2020-12-02,1138.65,,,,,,,,1138.65
2020-12-03,1157.12,,,,,,32.34,,1189.4599999999998
2020-12-04,4109.98,,,,,,,,4109.98
2020-12-05,9680.6,,,,,,,,9680.6
2020-12-06,3754.68,,,,,,,,3754.68
2020-12-07,749.32,,,,,,,,749.32
2020-12-08,925.61,,,,,,,,925.61
2020-12-09,597.0,,,,,,,,597.0
2020-12-10,527.22,,,,,,,,527.22
2020-12-11,481.62,,,,,,,,481.62
2020-12-12,410.05,,,,,,,,410.05
2020-12-13,372.5,,,,,,,,372.5
2020-12-14,210.84,,,,,,,,210.84
2020-12-15,386.74,,,,,,,,386.74
2020-12-16,956.35,,,,,,,,956.35
2020-12-17,431.28,,,,,,,,431.28
2020-12-18,455.11,,,46.31,,,,,501.42
2020-12-19,1156.58,,,,,,,,1156.58
2020-12-20,468.0,,,,,,,,468.0
2020-12-21,493.0,,,,,,,,493.0
2020-12-22,653.35,,,41.38,,,,,694.73
2020-12-23,967.78,,,,,,,,967.78
2020-12-24,338.24,,,,,,,,338.24
2020-12-25,360.39,,,67.69,,,,,428.08
2020-12-26,748.49,,,,,,,,748.49
2020-12-27,573.16,,,,,,,,573.16
2020-12-28,463.12,,,,,,,,463.12
2020-12-29,667.85,,,,,,,,667.85
2020-12-30,2095.09,,,,,,,,2095.09
2020-12-31,1733.46,,,,,,,,1733.46
2021-01-01,1204.07,,,,,,,,1204.07
2021-01-02,1142.79,,,,,,,,1142.79
2021-01-03,724.1,,,,,,,,724.1
2021-01-04,575.84,,,,,,,,575.84
2021-01-05,429.03,,,,,,,,429.03
2021-01-06,788.33,,,,,,,,788.33
2021-01-07,586.43,,,,,,,,586.43
2021-01-08,1014.57,,,,,,,,1014.57
2021-01-09,722.89,,,,,,,,722.89
2021-01-10,567.05,,,,,,,,567.05
2021-01-11,1158.13,,,,,,,,1158.13
2021-01-12,684.38,,,,,,,,684.38
2021-01-13,364.94,,,,,,,,364.94
2021-01-14,1098.3,,,,,,,,1098.3
2021-01-15,1747.24,,38.68,,,,,,1785.92
2021-01-16,1142.28,48.35,,,,,,,1190.6299999999999
2021-01-17,923.36,,,,,,,,923.36
2021-01-18,908.48,,,,,,,,908.48
2021-01-19,770.1,,,,,,,,770.1
2021-01-20,1505.76,,,,,,,,1505.76
2021-01-21,1054.88,,,,,,,,1054.88
2021-01-22,1372.91,,,,,,,,1372.91
2021-01-23,3545.59,,,,,,,,3545.59
2021-01-24,1601.12,,,,,,,,1601.12
2021-01-25,3755.39,,,,,,,,3755.39
2021-01-26,717.8,,,,,,,,717.8
2021-01-27,630.81,,,,,,,,630.81
2021-01-28,459.54,,,,,,,,459.54
2021-01-29,502.56,,,,,,,,502.56
2021-01-30,812.32,,,,,,,,812.32
2021-01-31,1094.98,,,,,,,,1094.98
2021-02-01,2018.92,,,,,,,,2018.92
2021-02-02,2874.02,,,,,,,,2874.02
2021-02-03,1121.84,,,,,,,,1121.84
2021-02-04,942.02,,,,,,,,942.02
2021-02-05,546.55,,,,,,,,546.55
2021-02-06,1109.8,,,,,,,,1109.8
2021-02-07,925.12,,,,,,,,925.12
2021-02-08,3744.16,,,,,,,,3744.16
2021-02-09,1334.05,,,,,,,,1334.05
2021-02-10,1031.64,42.05,,,,,,,1073.69
2021-02-11,1277.35,,,,,,,,1277.35
2021-02-12,662.23,,,,,,,,662.23
2021-02-13,2707.25,,,,,,,,2707.25
2021-02-14,818.1,,,,,,,,818.1
2021-02-15,481.1,,,,,,,,481.1
2021-02-16,403.35,,,,,,,,403.35
2021-02-25,8.91,,,,,,,,8.91
2021-02-26,98.55,,,,,,,,98.55
2021-02-27,65.48,,,,,,,,65.48
2021-02-28,86.39,,,,,,,,86.39
2021-03-01,104.76,,,,,,,45.41,150.17000000000002
2021-03-02,103.74,,,19.32,,,,,123.06
2021-03-03,2148.17,,,,,,,,2148.17
2021-03-04,1689.17,,,,,,,,1689.17
2021-03-05,102.18,,,,,,,,102.18
2021-03-06,620.5,,,,,,,,620.5
2021-03-07,74.18,,,,,,,,74.18
2021-03-08,35.87,,,,,,,,35.87
2021-03-09,829.12,,,,,,,,829.12
2021-03-10,130.18,,,,,,,,130.18
2021-03-11,82.53,,,,,,,,82.53
2021-03-12,285.08,,,,,,,,285.08
2021-03-13,229.53,,,,,,,,229.53
2021-03-14,223.78,,,,,,,,223.78
2021-03-15,43.25,,,,,,,,43.25
2021-03-16,459.91,,,,,,,,459.91
2021-03-17,169.35,,,,,,,,169.35
2021-03-18,542.29,,,,,,,,542.29
2021-03-19,462.52,,,,,,25.23,,487.75
2021-03-20,344.25,,,,,,,,344.25
2021-03-21,669.43,,,,,,,,669.43
2021-03-22,456.01,,,,,,,,456.01
2021-03-23,370.69,,,,,,,,370.69
2021-03-24,214.1,,,,,,,,214.1
2021-03-25,34.15,,,,,,,,34.15
2021-03-26,470.3,,,,,,,,470.3
2021-03-27,82.19,,,,,,,,82.19
2021-03-28,32.3,,,,,,,,32.3
2021-03-29,141.46,,,,,,,,141.46
2021-03-30,406.69,,,,,,,,406.69
2021-03-31,397.01,,,,,,,,397.01
2021-04-01,874.06,,,,,,,,874.06
2021-04-02,338.56,,,,,,,,338.56
2021-04-03,697.78,,,,,,,,697.78
2021-04-04,194.15,,,,,,,,194.15
2021-04-05,775.43,,,,,,,,775.43
2021-04-06,130.08,,,,,,,,130.08
2021-04-07,290.21,20.18,,,,,,,310.39
2021-04-08,36.29,,,,,,,,36.29
